_id;recvTime;LAT;LON;NO2;PM1;PM10;PM25
6169b68299f6325ace5f6eba;2021-10-15T17:12:34.220Z;64.74579;20.959072;-0.0018761081;0.019628705;0.020189386;0.02018903
6169b7b299f6325ace5f6ebe;2021-10-15T17:17:34.707Z;64.74579;20.959072;-0.0013836818;0.0;0.0;0.0
6169b8de99f6325ace5f6ec5;2021-10-15T17:22:35.150Z;64.74579;20.959072;-0.0014607856;0.058886115;0.060568158;0.06056709
6169ba0899f6325ace5f6ecc;2021-10-15T17:27:35.632Z;64.74579;20.959072;-0.0021767179;0.019628663;0.020189341;0.020188985
6169bb3699f6325ace5f6ed0;2021-10-15T17:32:36.091Z;64.74579;20.959072;-0.0013987122;0.029443057;0.030284079;0.030283544
6169bc6299f6325ace5f6ed7;2021-10-15T17:37:36.548Z;64.74579;20.959072;-0.0013598118;0.009814353;0.010094693;0.010094515
6169bd8c99f6325ace5f6ede;2021-10-15T17:42:36.995Z;64.74579;20.959072;-0.0017647676;0.029443057;0.030284079;0.030283544
6169beb999f6325ace5f6ee3;2021-10-15T17:47:37.485Z;64.74579;20.959072;-0.0015815651;0.009814331;0.010094671;0.010094493
6169bfe699f6325ace5f6eea;2021-10-15T17:52:37.932Z;64.74579;20.959072;1.2346024E-4;0.029443057;0.030284079;0.030283544
6169c11299f6325ace5f6ef1;2021-10-15T17:57:38.375Z;64.74579;20.959072;-9.785275E-4;0.0;0.0;0.0
6169c23e99f6325ace5f6ef5;2021-10-15T18:02:38.841Z;64.74579;20.959072;-0.0012370774;0.0;0.0;0.0
6169c36b99f6325ace5f6efc;2021-10-15T18:07:39.324Z;64.74579;20.959072;-0.0015551805;0.0;0.0;0.0
6169c49b99f6325ace5f6f03;2021-10-15T18:12:39.807Z;64.74579;20.959072;-0.0019779867;0.0;0.0;0.0
6169c5c499f6325ace5f6f08;2021-10-15T18:17:40.218Z;64.74579;20.959072;-0.0012870503;0.009814331;0.010094671;0.010094493
6169c6f099f6325ace5f6f0f;2021-10-15T18:22:40.739Z;64.74579;20.959072;-0.0016594047;0.019628705;0.020189386;0.02018903
6169c81f99f6325ace5f6f16;2021-10-15T18:27:41.134Z;64.74579;20.959072;-0.0010676706;0.009814353;0.010094693;0.010094515
6169c94d99f6325ace5f6f1b;2021-10-15T18:32:41.607Z;64.74579;20.959072;-0.001038084;0.009814353;0.010094693;0.010094515
6169ca7999f6325ace5f6f22;2021-10-15T18:37:42.089Z;64.74579;20.959072;-0.0018504066;0.0;0.0;0.0
6169cba499f6325ace5f6f29;2021-10-15T18:42:42.538Z;64.74579;20.959072;-4.4143293E-4;0.009814374;0.010094714;0.0100945365
6169ccd199f6325ace5f6f2d;2021-10-15T18:47:43.000Z;64.74579;20.959072;-0.0014136732;0.009814353;0.010094693;0.010094515
6169cdfd99f6325ace5f6f34;2021-10-15T18:52:43.471Z;64.74579;20.959072;-0.0016657356;0.009814374;0.010094714;0.0100945365
6169cf2899f6325ace5f6f3b;2021-10-15T18:57:43.925Z;64.74579;20.959072;-0.0016783389;0.009814353;0.010094693;0.010094515
6169d05699f6325ace5f6f40;2021-10-15T19:02:44.378Z;64.74579;20.959072;-0.0019841448;0.019628663;0.020189341;0.020188985
6169d18199f6325ace5f6f47;2021-10-15T19:07:44.849Z;64.74579;20.959072;-0.0017959846;0.03925741;0.04037877;0.04037806
6169d2ad99f6325ace5f6f4e;2021-10-15T19:12:45.313Z;64.74579;20.959072;-0.0017865764;0.009814353;0.010094693;0.010094515
6169d3da99f6325ace5f6f52;2021-10-15T19:17:45.787Z;64.74579;20.959072;-0.0020912818;0.009814353;0.010094693;0.010094515
6169d50699f6325ace5f6f59;2021-10-15T19:22:46.243Z;64.74579;20.959072;-0.001699616;0.0;0.0;0.0
6169d63299f6325ace5f6f60;2021-10-15T19:27:46.695Z;64.74579;20.959072;-9.6795615E-4;0.009814353;0.010094693;0.010094515
6169d75f99f6325ace5f6f64;2021-10-15T19:32:47.155Z;64.74579;20.959072;-0.0012365488;0.019628663;0.020189341;0.020188985
6169d88b99f6325ace5f6f6b;2021-10-15T19:37:47.608Z;64.74579;20.959072;0.0014064261;0.019996438;0.021962734;0.02195691
6169d9bc99f6325ace5f6f72;2021-10-15T19:42:48.081Z;64.74579;20.959072;-6.437105E-4;0.009814374;0.010094714;0.0100945365
6169dae499f6325ace5f6f77;2021-10-15T19:47:48.530Z;64.74579;20.959072;-0.0018306881;0.009814353;0.010094693;0.010094515
6169dc1099f6325ace5f6f7e;2021-10-15T19:52:48.991Z;64.74579;20.959072;-0.0012796854;0.029443057;0.030284079;0.030283544
6169dd4299f6325ace5f6f84;2021-10-15T19:57:49.466Z;64.74579;20.959072;-0.0015573109;0.019628705;0.020189386;0.02018903
6169de6c99f6325ace5f6f89;2021-10-15T20:02:49.947Z;64.74579;20.959072;-0.001469467;0.0;0.0;0.0
6169df9899f6325ace5f6f90;2021-10-15T20:07:50.367Z;64.74579;20.959072;-0.0013633494;0.019628705;0.020189386;0.02018903
6169e0c699f6325ace5f6f96;2021-10-15T20:12:50.828Z;64.74579;20.959072;-0.0020701205;0.02944312;0.030284144;0.03028361
6169e1ef99f6325ace5f6f9b;2021-10-15T20:17:51.286Z;64.74579;20.959072;-0.0020037338;0.009814374;0.010094714;0.0100945365
6169e31b99f6325ace5f6fa2;2021-10-15T20:22:51.762Z;64.74579;20.959072;-0.0012883377;0.019628705;0.020189386;0.02018903
6169e44a99f6325ace5f6fa9;2021-10-15T20:27:52.238Z;64.74579;20.959072;-0.0024732715;0.0;0.0;0.0
6169e57599f6325ace5f6fae;2021-10-15T20:32:52.686Z;64.74579;20.959072;-0.0014135396;0.0;0.0;0.0
6169e6a299f6325ace5f6fb4;2021-10-15T20:37:53.152Z;64.74579;20.959072;-0.00207263;0.03925741;0.04037877;0.04037806
6169e7d099f6325ace5f6fbb;2021-10-15T20:42:53.602Z;64.74579;20.959072;-0.0015969584;0.0;0.0;0.0
6169e8fa99f6325ace5f6fc0;2021-10-15T20:47:54.071Z;64.74579;20.959072;-0.0020818012;0.0;0.0;0.0
6169ea2699f6325ace5f6fc7;2021-10-15T20:52:54.526Z;64.74579;20.959072;-0.0011905158;0.03925741;0.04037877;0.04037806
6169eb5399f6325ace5f6fce;2021-10-15T20:57:55.055Z;64.74579;20.959072;-0.0012476768;0.019628705;0.020189386;0.02018903
6169ec7f99f6325ace5f6fd2;2021-10-15T21:02:55.474Z;64.74579;20.959072;-0.0011488096;0.009814353;0.010094693;0.010094515
6169edab99f6325ace5f6fd9;2021-10-15T21:07:55.902Z;64.74579;20.959072;-0.0018559428;0.0;0.0;0.0
6169eed999f6325ace5f6fdf;2021-10-15T21:12:56.372Z;64.74579;20.959072;-0.0014843984;0.039257497;0.040378857;0.040378146
6169f00499f6325ace5f6fe4;2021-10-15T21:17:56.840Z;64.74579;20.959072;1.2831856E-4;0.0;0.0;0.0
6169f13499f6325ace5f6feb;2021-10-15T21:22:57.299Z;64.74579;20.959072;-0.0013851856;0.029442994;0.030284014;0.030283479
6169f25d99f6325ace5f6ff2;2021-10-15T21:27:57.750Z;64.74579;20.959072;-7.0171314E-5;0.04907176;0.050473463;0.050472572
6169f38b99f6325ace5f6ff7;2021-10-15T21:32:58.205Z;64.74579;20.959072;-9.88209E-4;0.009814353;0.010094693;0.010094515
6169f4b799f6325ace5f6ffe;2021-10-15T21:37:58.675Z;64.74579;20.959072;-0.0011358362;0.0;0.0;0.0
6169f5e599f6325ace5f7005;2021-10-15T21:42:59.126Z;64.74579;20.959072;-0.0018552945;0.019628705;0.020189386;0.02018903
6169f71099f6325ace5f700a;2021-10-15T21:47:59.629Z;64.74579;20.959072;-0.0016878166;0.0;0.0;0.0
6169f83c99f6325ace5f7011;2021-10-15T21:53:00.069Z;64.74579;20.959072;-0.0012725418;0.019628705;0.020189386;0.02018903
6169f96899f6325ace5f7018;2021-10-15T21:58:00.545Z;64.74579;20.959072;-0.0016586788;0.009814353;0.010094693;0.010094515
6169fa9599f6325ace5f701d;2021-10-15T22:03:01.043Z;64.74579;20.959072;-0.00137281;0.009814353;0.010094693;0.010094515
6169fbc199f6325ace5f7024;2021-10-15T22:08:01.490Z;64.74579;20.959072;-0.0018671431;0.019628705;0.020189386;0.02018903
6169fced99f6325ace5f702b;2021-10-15T22:13:01.953Z;64.74579;20.959072;-0.0018918596;0.009814353;0.010094693;0.010094515
6169ff4699f6325ace5f7035;2021-10-15T22:23:02.828Z;64.74579;20.959072;-0.0011009532;0.0;0.0;0.0
