_id;recvTime;LAT;LON;NO2;PM1;PM10;PM25;Timestamp;devAddr
6052105099f63279b620ca8f;2021-03-17T14:21:04.029Z;64.75068;20.960518;-8.223684E-4;0.17665908;0.18170524;0.18170203;17-03-2021T15:21:03.0996+0100;2,02E+60
6052117f99f63279b620ca92;2021-03-17T14:26:04.534Z;64.75068;20.960518;-8.223684E-4;0.19628787;0.2018947;0.20189114;17-03-2021T15:26:04.0499+0100;2,02E+60
605212ab99f63279b620ca95;2021-03-17T14:31:05.003Z;64.75068;20.960518;-8.223684E-4;0.11663482;0.12224934;0.122238286;17-03-2021T15:31:04.0964+0100;2,02E+60
605213d599f63279b620ca97;2021-03-17T14:36:05.436Z;64.75068;20.960518;-8.223684E-4;0.26498917;0.27255842;0.27255362;17-03-2021T15:36:05.0398+0100;2,02E+60
6052150199f63279b620ca9a;2021-03-17T14:41:05.878Z;64.75068;20.960518;-8.223684E-4;0.3238757;0.333127;0.33312112;17-03-2021T15:41:05.0846+0100;2,02E+60
6052162e99f63279b620ca9d;2021-03-17T14:46:06.362Z;64.75068;20.960518;-8.223684E-4;0.1864743;0.1918008;0.1917974;17-03-2021T15:46:06.0314+0100;2,02E+60
6052175b99f63279b620caa0;2021-03-17T14:51:06.806Z;64.75068;20.960518;-8.223684E-4;0.2551748;0.2624637;0.26245904;17-03-2021T15:51:06.0771+0100;2,02E+60
6052188899f63279b620caa2;2021-03-17T14:56:07.258Z;64.75068;20.960518;-8.223684E-4;0.23554596;0.24227418;0.2422699;17-03-2021T15:56:07.0224+0100;2,02E+60
605219b699f63279b620caa5;2021-03-17T15:01:07.719Z;64.75068;20.960518;-8.223684E-4;0.29443243;0.30284274;0.30283737;17-03-2021T16:01:07.0684+0100;2,02E+60
60521ae099f63279b620caa7;2021-03-17T15:06:08.171Z;64.75068;20.960518;-8.223684E-4;0.15412995;0.16106914;0.16105641;17-03-2021T16:06:08.0135+0100;2,02E+60
60521c0d99f63279b620caa9;2021-03-17T15:11:08.634Z;64.75068;20.960518;-8.223684E-4;0.12255689;0.12745276;0.12744509;17-03-2021T16:11:08.0600+0100;2,02E+60
60521d3b99f63279b620caac;2021-03-17T15:16:09.089Z;64.75068;20.960518;-8.223684E-4;0.23946005;0.24845615;0.24844338;17-03-2021T16:16:09.0057+0100;2,02E+60
60521e6599f63279b620caae;2021-03-17T15:21:09.546Z;64.75068;20.960518;-8.223684E-4;0.35331893;0.36341128;0.36340484;17-03-2021T16:21:09.0510+0100;2,02E+60
60521f9299f63279b620cab1;2021-03-17T15:26:10.015Z;64.75068;20.960518;-8.223684E-4;0.35331815;0.36341047;0.36340407;17-03-2021T16:26:09.0971+0100;2,02E+60
605220bf99f63279b620cab3;2021-03-17T15:31:10.519Z;64.75068;20.960518;-8.223684E-4;0.23554596;0.24227418;0.2422699;17-03-2021T16:31:10.0470+0100;2,02E+60
605221ec99f63279b620cab5;2021-03-17T15:36:10.972Z;64.75068;20.960518;-8.223684E-4;0.16684505;0.17161086;0.17160784;17-03-2021T16:36:10.0934+0100;2,02E+60
6052231a99f63279b620cab7;2021-03-17T15:41:11.419Z;64.75068;20.960518;-8.223684E-4;0.14721622;0.15142137;0.15141869;17-03-2021T16:41:11.0384+0100;2,02E+60
6052244399f63279b620caba;2021-03-17T15:46:11.847Z;64.75068;20.960518;-8.223684E-4;0.27480364;0.28265318;0.2826482;17-03-2021T16:46:11.0819+0100;2,02E+60
6052257099f63279b620cabc;2021-03-17T15:51:12.314Z;64.75068;20.960518;-8.223684E-4;0.17653646;0.18297422;0.18296555;17-03-2021T16:51:12.0273+0100;2,02E+60
6052269e99f63279b620cabe;2021-03-17T15:56:12.805Z;64.75068;20.960518;-8.223684E-4;0.16684505;0.17161086;0.17160784;17-03-2021T16:56:12.0771+0100;2,02E+60
605227ca99f63279b620cac1;2021-03-17T16:01:13.251Z;64.75068;20.960518;-8.223684E-4;0.21591713;0.22208464;0.22208072;17-03-2021T17:01:13.0218+0100;2,02E+60
605228f899f63279b620cac4;2021-03-17T16:06:13.717Z;64.75068;20.960518;-8.223684E-4;0.23554596;0.24227418;0.2422699;17-03-2021T17:06:13.0686+0100;2,02E+60
60522a2399f63279b620cac7;2021-03-17T16:11:14.188Z;64.75068;20.960518;-8.223684E-4;0.09758607;0.10214916;0.10214044;17-03-2021T17:11:14.0151+0100;2,02E+60
60522b4f99f63279b620caca;2021-03-17T16:16:14.610Z;64.75068;20.960518;-8.223684E-4;0.30424684;0.31293747;0.31293195;17-03-2021T17:16:14.0578+0100;2,02E+60
60522c7b99f63279b620cacc;2021-03-17T16:21:15.091Z;64.75068;20.960518;-8.223684E-4;0.13335302;0.13855729;0.1385494;17-03-2021T17:21:15.0036+0100;2,02E+60
60522da799f63279b620cacf;2021-03-17T16:26:15.541Z;64.75068;20.960518;-8.223684E-4;0.15703064;0.16151612;0.16151327;17-03-2021T17:26:15.0509+0100;2,02E+60
60522ed499f63279b620cad2;2021-03-17T16:31:15.992Z;64.75068;20.960518;-8.223684E-4;0.22573152;0.23217942;0.23217532;17-03-2021T17:31:15.0960+0100;2,02E+60
6052300199f63279b620cad5;2021-03-17T16:36:16.481Z;64.75068;20.960518;-8.223684E-4;0.109107;0.11336504;0.113358594;17-03-2021T17:36:16.0452+0100;2,02E+60
6052312c99f63279b620cad8;2021-03-17T16:41:16.902Z;64.75068;20.960518;-8.223684E-4;0.11221835;0.11770669;0.11769573;17-03-2021T17:41:16.0871+0100;2,02E+60
